sport,league,home,away,market_name,odds,ev,betside,hdp,event_id,id,bookmaker
Football,Brazil - Brasileiro Serie A,Fluminense FC RJ,CR Flamengo RJ,Team Total Home,2.08,24.18,over,,58053133,58053133-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,Romania - Superliga,FC Botosani,FC Dinamo Bucuresti 1948,Team Total Home,5.80,88.32,over,,61510762,61510762-Team Total Home-home-Duel-1.5,"('Duel',)"
Football,Netherlands - Eerste Divisie,TOP Oss,RKC Waalwijk,Team Total Home,3.75,36.17,over,,61379807,61379807-Team Total Home-home-Duel-1.5,"('Duel',)"
Football,Netherlands - Eerste Divisie,SC Cambuur,ADO Den Haag,ML,1.99,1.4,away,,61379803,61379803-ML-away-Duel,"('Duel',)"
Football,Turkiye - Super Lig,Galatasaray Istanbul,Genclerbirligi SK,ML,1.19,1.05,home,,61720632,61720632-ML-home-Duel,"('Duel',)"
Football,Saudi Arabia - Saudi Pro League,Al-Ittihad Club,Al-Riyadh SC,ML,1.32,1.64,home,,64055441,64055441-ML-home-Duel,"('Duel',)"
Football,France - Ligue 2,FC Annecy,SC Bastia,Team Total Home,2.66,87.99,over,,61527614,61527614-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,Spain - LaLiga,Elche CF,Real Madrid,Team Total Home,2.64,6.66,under,,61624182,61624182-Team Total Home-away-Duel-0.5,"('Duel',)"
Football,Thailand - Thai League 1,Ratchaburi FC,BG Pathum United,ML,3.50,1.08,away,,63160781,63160781-ML-away-Duel,"('Duel',)"
Football,Greece - Super League,Olympiacos Piraeus,Atromitos Athinon,Spread,2.08,2.07,away,-2,61913164,61913164-Spread-away-Duel--2,"('Duel',)"
Football,Saudi Arabia - Saudi Pro League,Al Nassr Club,Al-Khaleej Club,ML,1.18,1.23,home,,64055445,64055445-ML-home-Duel,"('Duel',)"
Football,England - League Two,Cheltenham Town,Bristol Rovers,Team Total Home,5.60,84.91,over,,61494347,61494347-Team Total Home-home-Duel-1.5,"('Duel',)"
Football,Russia - 1. Liga,FK Ufa,FC Fakel Voronezh,Team Total Home,2.02,21.97,over,,65374564,65374564-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,England - Premier League,Wolverhampton Wanderers,Crystal Palace,Team Total Home,1.85,22.17,over,,61300751,61300751-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,Japan - Emperor Cup,Machida Zelvia,Vissel Kobe,Team Total Home,2.14,41.35,over,,65801208,65801208-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,Argentina - Liga Profesional,CA Central Cordoba SE,CA San Lorenzo de Almagro,Team Total Home,2.94,92.03,over,,65834954,65834954-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,Russia - 1. Liga,FC Yenisey Krasnoyarsk,Rodina Moscow,Team Total Home,2.10,37.01,over,,65374560,65374560-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,Ukraine - Premier League,SC Poltava,LNZ Cherkasy,Team Total Home,2.30,22.81,under,,61651412,61651412-Team Total Home-away-Duel-0.5,"('Duel',)"
Football,Saudi Arabia - Saudi Pro League,Al Hilal SFC,Al-Fateh SC,Team Total Home,1.83,2.65,under,,64055439,64055439-Team Total Home-away-Duel-3.5,"('Duel',)"
Football,Austria - 2. Liga,FC Admira Wacker Modling,FC Liefering,Spread,1.84,3.1,home,-0.5,61591108,61591108-Spread-home-Duel--0.5,"('Duel',)"
Football,Germany - 2. Bundesliga,SC Preussen 06 Munster,Schalke 04,Team Total Home,1.91,32.76,over,,61514880,61514880-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,Brazil - Brasileiro Serie B,Operario Ferroviario EC PR,Ferroviaria Araraquara SP,Team Total Home,2.04,41.76,over,,58315607,58315607-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,Poland - I Liga,Gornik Leczna,LKS Lodz,Team Total Home,4.60,51.87,over,,61398697,61398697-Team Total Home-home-Duel-1.5,"('Duel',)"
Football,Russia - Premier League,PFK Krylia Sovetov Samara,FK Rostov,Team Total Home,2.10,41.34,over,,61376545,61376545-Team Total Home-home-Duel-0.5,"('Duel',)"
Football,China - Chinese Super League,Wuhan Three Towns FC,Shandong Taishan FC,Team Total Home,3.20,19.82,over,,57605501,57605501-Team Total Home-home-Duel-1.5,"('Duel',)"
